local_account,local_label,group_coa
62570000,MISSIONS ET RECEPTIONS,Manufacturing costs bespokes
62571000,RECEPTION MARKETING,Entertainments
62600000,FRAIS POSTAUX,Manufacturing costs bespokes
62610000,FRAIS DE TELEPHONE,Manufacturing costs bespokes
62700000,SERVICES BANCAIRES ET ASS,Bank charges
62700100,COMMISSIONS CARTES,Credit card charges
62810000,COTISATIONS ASSOCATIONS,Manufacturing costs bespokes
63120000,TAXE D'APPRENTISSAGE,Manufacturing costs bespokes
63121000,TAXE APPRENTISSAGE MARKETING PRODUI,Other income (expense) net
63330000,PARTIC.EMPLOY.FPC,Manufacturing costs bespokes
63331000,PARTIC.EMPLOY.FPC MARKETING PRODUIT,Other income (expense) net
63511000,CET,Manufacturing costs bespokes
63512000,TAXES FONCIERES,Manufacturing costs bespokes
63780000,TAXES DIVERSES,Manufacturing costs bespokes
64110000,REMUNERATIONS PERSONNEL,Manufacturing costs bespokes
64111000,REMUNERATION MARKETING,Other income (expense) net
64112000,GRATIFICATION STAGIAIRE MARKETING,Wages and salaries
64120000,PROVISION CONGES PAYES,Manufacturing costs bespokes
64121000,PROVISIONS CONGES PAYES MARKETING P,Other income (expense) net
64130000,PRIMES ET GRATIFICATIONS,Manufacturing costs bespokes
64140000,PRIME DE TRANSPORT,Manufacturing costs bespokes
64140100,PRIME DE TRANSPORT MARKETING,Other income (expense) net
64141000,INDEMNITES RUPTURE,Restructuring charges
64142000,INDEMNITES MARKETING,Other income (expense) net
64143000,INDEMNITES CHOMAGE PARTIEL,Manufacturing costs bespokes
64144000,INDEMNITES CHOMAGE PARTIEL MARKETIN,Other income (expense) net
64500000,CH. SOC S/CONGES PAYES,Manufacturing costs bespokes
64501000,CH.SOC S/CP MARKETING PRODUIT,Other income (expense) net
64510000,COTIS.URSSAF-P?LE EMPLOI,Manufacturing costs bespokes
64511000,COTIS. URSSAF MARKETING,Other income (expense) net
64520000,COTIS.PREVOYANCE,Manufacturing costs bespokes
64520100,COTIS. PREVOYANCE MARKETING PRODUIT,Other income (expense) net
64521000,COTISATIONS AUX MUTUELLES,Manufacturing costs bespokes
64521100,COTIS. MUTUELLES MARKETING PRODUIT,Other income (expense) net
64530000,COTIS. RETRAITE NOVALIS,Manufacturing costs bespokes
64531000,COTIS. RETRAITE MARKETING PRODUIT,Other income (expense) net
64750000,MEDECINE DU TRAVAIL,Manufacturing costs bespokes
64860000,CHARGES SUR BONUS,Manufacturing costs bespokes
64900000,CICE,Manufacturing costs bespokes
65400000,PERTES SUR CREANCES IRRECOUVRABLES,Bad debts
65410000,CREANCES IRRECOUVRABLES-SOC SOEURS,Other income (expense) net
65800000,CHARGES DIV.GEST.COURANTE,Manufacturing costs bespokes
65810000,CHARGES DIVERSES INTRAGROUPES,Manufacturing costs bespokes
66160000,CHARGE D'INTERETS,Interest expense
67110000,AMENDES,Miscellaneous
67180000,CHARGES EXCEP./OP.GESTION,Other income (expense) net
68112000,DOT.AMORT.IMMO.CORPORELL.,Manufacturing costs bespokes
68112100,DOT AMORT MAT BUREAU MARKETING PROD,Other income (expense) net
68150000,DOT AUX PROVISIONS D'EXPLOITATION,Other income (expense) net
68173000,PROV DEPR. DES STOCKS,Depreciation
68174000,PROV DEPRECIATION CREANCES,Bad debts
69910000,CREDIT D'IMPOT RECHERCHE,Corporate income tax
70100000,VENTES PROD FINIS 19.6 %,Bespoke shoes
70110000,VENTE PF 20%,Bespoke shoes
70111000,VENTE PF FRANCE INTRAGROUPE,Bespoke shoes subsidiaries
70120000,VENTE PF INTRACOM,Bespoke shoes subsidiaries
70195000,VENTES PROD FINI EXPORT,Bespoke shoes subsidiaries
70195100,VENTE PF EXPORT,Bespoke shoes
70600000,PRESTATION DE SERVICE,Service repair
70610000,PREST DE SERVICE EXPORT INTRAGROUPE,Service repair subsidiaries
70620000,VENTE SERVICE EXPORT,Service repair
70801000,PRODUIT ACCESSOIRE INTRAGROUPE EXP,Other sales subsidiaries
70820000,COMMISSIONS ET COURTAGES,Commission received
70830000,REFACTURATION DES LOYERS,Manufacturing costs bespokes
70840000,REFACTURATION SERVICES,Manufacturing costs bespokes
70841000,REFACTURATION SER.MKGTS & PRODUITS,Other income (expense) net
70850000,REFACTURATION FRAIS PORT EXPORT,Shipment charge subsidiaries
70895000,PRODUITS ACTIVITES ANNEX.,Manufacturing costs bespokes
71331000,VAR. EN-COURS PROD. BIENS,Closing stock in progress besopkes
71355000,VARIAT. STOCKS PRODUITS,Closing stock shoes bespokes
74000000,SUBVENTION D'EXPLOITATION,Manufacturing costs bespokes
74100000,SUBVENTION D'EXPLOITATION MARKETING,Other income (expense) net
75800000,PROD.DIVERS DE GEST.COUR.,Manufacturing costs bespokes
75810000,PRODUITS DIVERS INTRAGROUPES,Manufacturing costs bespokes
77180000,AUTR PRODUITS EXCEPTIONNELS DE GEST,Other income (expense) net
77500000,PRODUITS DES CESSIONS D'ACTIFS,Profit/(loss) on Sale of Assets
78150000,RERRISE PROV D'EXPLOITATION,Other income (expense) net
78173000,REPRISE DEPRECIATION STOCK PF DEFEC,Depreciation
78174000,RERISE PROV DEPRECIATION CREANCES,Bad debts
79100000,RBT ASSURANCES,Manufacturing costs bespokes
64130100,PRIMES ET GRATIFICATIONS MARKETING,Other income (expense) net
46700940,NDF GAMBA SAMUEL,Expense reports Payable
77200000,PRODUITS SUR EXERCICE ANTERIEUR,Other income (expense) net
64920000,AIDE AU REGLT COTIS URSSAF,Other income (expense) net
64931000,REMB. CHARGE DE PERSONNEL,Other income (expense) net
60311000,VAR. STOCKS MAT.1ERE PETITE MESURE,Closing stock raw material bespokes
60410000,SOUS TRAITANCE PETITE MESURE,Manufacturing costs bespokes
61300000,LOCATIONS DIVERSES,Manufacturing costs bespokes
51210000,BNP,Cash Bank
64131000,COMMISSIONS,Commission employees
62140000,PERSONNEL DET. EXT.,Manufacturing costs bespokes
41900000,Deposit received,Deposit received
44585000,VAT payable,VAT payable
46700999,Expense reports Payable,Expense reports Payable
